gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_33050,0.009,1.0,-0.017,1.0,0,0.009,0.017,0,0
mtlk,-0.003,1.0,0.01,1.0,0,0.003,0.01,0,0
pslN,-0.022,1.0,-0.003,1.0,0,0.022,0.003,0,0
glnP,-0.122,1.0,0.019,1.0,0,0.122,0.019,0,0
exaB,0.288,1.0,0.008,1.0,0,0.288,0.008,0,0
fabI,0.038,1.0,-0.003,1.0,0,0.038,0.003,0,0
uspA,0.013,1.0,0.019,1.0,0,0.013,0.019,0,0
cmaX,-0.005,1.0,-0.035,1.0,0,0.005,0.035,0,0
masA,0.024,1.0,0.0,1.0,0,0.024,0.0,0,0
PA14_42770,0.018,1.0,0.045,1.0,0,0.018,0.045,0,0
PA14_42910,0.033,1.0,0.012,1.0,0,0.033,0.012,0,0
ygdE,0.041,1.0,0.006,1.0,0,0.041,0.006,0,0
fixS,-0.005,1.0,0.009,1.0,0,0.005,0.009,0,0
ttuD,0.029,1.0,-0.007,1.0,0,0.029,0.007,0,0
PA14_48620,0.058,1.0,-0.014,1.0,0,0.058,0.014,0,0
pcpS,0.039,1.0,-0.001,1.0,0,0.039,0.001,0,0
flaG,0.01,1.0,0.046,1.0,0,0.01,0.046,0,0
flgC,-0.023,1.0,0.037,1.0,0,0.023,0.037,0,0
phaA,0.031,1.0,-0.082,1.0,0,0.031,0.082,0,0
ruvC,0.016,1.0,0.015,1.0,0,0.016,0.015,0,0
yebC,0.008,1.0,0.001,1.0,0,0.008,0.001,0,0
aotM,0.034,1.0,-0.171,1.0,0,0.034,0.171,0,0
phhB,-0.004,1.0,-0.004,1.0,0,0.004,0.004,0,0
slyD,-0.008,1.0,-0.008,1.0,0,0.008,0.008,0,0
PA14_53450,0.025,1.0,-0.01,1.0,0,0.025,0.01,0,0
PA14_54970,0.005,1.0,-0.017,1.0,0,0.005,0.017,0,0
PA14_55720,-0.01,1.0,-0.042,1.0,0,0.01,0.042,0,0
PA14_56140,0.018,1.0,0.011,1.0,0,0.018,0.011,0,0
mntH1,0.014,1.0,0.003,1.0,0,0.014,0.003,0,0
PA14_56840,-0.015,1.0,-0.005,1.0,0,0.015,0.005,0,0
pilR,0.016,1.0,0.0,1.0,0,0.016,0.0,0,0
pilW,0.0,1.0,0.001,1.0,0,0.0,0.001,0,0
fnr-2,0.026,1.0,0.038,1.0,0,0.026,0.038,0,0
ureD,-0.065,1.0,-0.006,1.0,0,0.065,0.006,0,0
PA14_67260,-0.028,1.0,0.041,1.0,0,0.028,0.041,0,0
argA,0.0,1.0,-0.033,1.0,0,0.0,0.033,0,0
pstC,0.002,1.0,0.001,1.0,0,0.002,0.001,0,0
PA14_70930,0.012,1.0,-0.001,1.0,0,0.012,0.001,0,0
PA14_72980,0.015,1.0,-0.02,1.0,0,0.015,0.02,0,0
glmR,-0.041,1.0,-0.032,1.0,0,0.041,0.032,0,0
PA14_00750,0.04,1.0,-0.057,1.0,0,0.04,0.057,0,0
PA14_01130,-0.015,1.0,0.024,1.0,0,0.015,0.024,0,0
PA14_01750,0.031,1.0,0.015,1.0,0,0.031,0.015,0,0
PA14_03200,0.022,1.0,0.002,1.0,0,0.022,0.002,0,0
PA14_06280,0.002,1.0,-0.019,1.0,0,0.002,0.019,0,0
PA14_06880,0.062,1.0,0.008,1.0,0,0.062,0.008,0,0
pqsL,0.02,1.0,-0.013,1.0,0,0.02,0.013,0,0
PA14_12620,0.006,1.0,-0.011,1.0,0,0.006,0.011,0,0
tauD,-0.061,1.0,0.044,1.0,0,0.061,0.044,0,0
moaC,0.017,1.0,-0.004,1.0,0,0.017,0.004,0,0
PA14_13350,0.021,1.0,-0.02,1.0,0,0.021,0.02,0,0
PA14_14490,-0.042,1.0,0.017,1.0,0,0.042,0.017,0,0
fkbP-1,0.017,1.0,-0.001,1.0,0,0.017,0.001,0,0
PA14_16510,-0.006,1.0,0.001,1.0,0,0.006,0.001,0,0
rnhB,0.05,1.0,-0.012,1.0,0,0.05,0.012,0,0
PA14_21060,-0.013,1.0,0.001,1.0,0,0.013,0.001,0,0
PA14_21720,0.013,1.0,0.013,1.0,0,0.013,0.013,0,0
tsp,0.009,1.0,-0.017,1.0,0,0.009,0.017,0,0
